iter	Passed	Remaining
217	4966	6424
218	4987	6400
219	5009	6375
220	5029	6349
221	5051	6325
222	5071	6299
223	5092	6274
224	5112	6249
225	5133	6224
226	5155	6199
227	5175	6173
228	5195	6147
229	5216	6123
230	5236	6097
231	5256	6072
232	5276	6046
233	5296	6020
234	5317	5996
235	5337	5970
236	5358	5945
237	5377	5920
238	5398	5895
239	5421	5873
240	5441	5848
241	5463	5824
242	5483	5799
243	5503	5774
244	5525	5751
245	5546	5726
246	5566	5702
247	5587	5677
248	5606	5651
249	5628	5628
250	5649	5604
251	5669	5579
252	5689	5554
253	5709	5529
254	5731	5506
255	5752	5482
256	5772	5457
257	5791	5432
258	5813	5409
259	5836	5387
260	5863	5368
261	5884	5345
262	5904	5320
263	5972	5339
264	5996	5317
265	6015	5292
266	6036	5267
267	6057	5243
268	6079	5220
269	6098	5195
270	6118	5170
271	6137	5144
272	6159	5121
273	6180	5097
274	6200	5073
275	6220	5048
276	6240	5023
277	6262	5001
278	6285	4978
279	6305	4954
280	6325	4929
281	6346	4906
282	6367	4882
283	6387	4857
284	6407	4833
285	6428	4810
286	6448	4785
287	6468	4761
288	6489	4737
289	6510	4714
290	6529	4689
291	6548	4664
292	6568	4640
293	6590	4617
294	6609	4593
295	6629	4569
296	6650	4545
297	6670	4521
298	6692	4499
299	6714	4476
300	6734	4452
301	6754	4428
302	6774	4404
303	6784	4374
304	6805	4351
305	6826	4327
306	6846	4304
307	6867	4280
308	6888	4257
309	6909	4234
310	6929	4211
311	6949	4187
312	6973	4166
313	6983	4136
314	7004	4113
315	7028	4092
316	7047	4068
317	7067	4045
318	7088	4021
319	7110	3999
320	7131	3976
321	7152	3953
322	7172	3930
323	7192	3907
324	7214	3884
325	7235	3861
326	7256	3839
327	7276	3815
328	7296	3792
329	7317	3769
330	7339	3747
331	7359	3723
332	7375	3698
333	7395	3675
334	7415	3652
335	7437	3630
336	7457	3607
337	7477	3583
338	7497	3560
339	7520	3539
340	7541	3516
341	7561	3493
342	7583	3471
343	7604	3448
344	7624	3425
345	7645	3403
346	7667	3380
347	7687	3357
348	7708	3335
349	7733	3314
350	7754	3291
351	7776	3269
352	7796	3246
353	7817	3224
354	7837	3201
355	7858	3178
356	7879	3156
357	7900	3133
358	7920	3110
359	7940	3088
360	7960	3065
361	7990	3045
362	8016	3025
363	8038	3003
364	8059	2980
365	8080	2958
366	8100	2935
367	8121	2913
368	8141	2890
369	8164	2868
370	8188	2847
371	8209	2824
372	8229	2801
373	8249	2779
374	8269	2756
375	8289	2733
376	8310	2711
377	8331	2689
378	8351	2666
379	8371	2643
380	8392	2621
381	8414	2599
382	8434	2576
383	8454	2554
384	8475	2531
385	8499	2510
386	8521	2488
387	8542	2465
388	8572	2446
389	8600	2425
390	8625	2404
391	8653	2384
392	8680	2363
393	8706	2342
394	8733	2321
395	8758	2300
396	8784	2278
397	8812	2258
398	8841	2238
399	8872	2218
400	8901	2197
401	8930	2177
